app_id,reviewId,userName,score,at,content,thumbsUpCount,replyContent,repliedAt,label
com.shopee.id,8c985b46-04d5-4aa2-8dbb-a2c47ece797f,Naura P,5,2026-01-04 14:36:19,selalu puas dengan pesanan . rata* sesuai dgn yg diinginkan,0,"Hallo kak Naura P. Makasih yaa buat review bintang 5 nya, yuk pantengin terus updatean dari sosmed resminya shopee dan aplikasi shopee yaa. Kalo ada kendala/pertanyaan lainnya bisa DM ke Social Media kita @Shopee_id . Stay safe ^JP",2026-01-04 16:17:42,positif
com.shopee.id,d04fc126-2638-4a45-b449-bfdbd77441bd,Ni Luh Suardani,5,2026-01-04 14:33:40,sangat membantu.. keren,0,"Hi kak Ni Luh Suardani , Aku ikut seneng kalau kamu puas belanja di Shopee, makasih ya kak untuk bintang 5 nyaa. Moga Shopee bisa selalu jadi tempat belanja yang terpercaya jd kamu makin nyaman menggunakan aplikasinya. Kalo ada pertanyaan boleh langsung hubungi Aku ke DM @Shopee_id ya, sehat selalu ^DG",2026-01-04 16:40:14,positif
com.shopee.id,f0e96848-6cae-4bcb-b594-53905d5a9a1b,Rehan Eka pramuditha,1,2026-01-04 14:33:37,penjualnya ga niat jualan,0,"Hai kak Rehan Eka pramuditha, maaf ya untuk kendala yang kaka alami, terkait kendala kakak, agar aku bisa bantu cek lebih lanjut, kakak bisa chat detail kendala kakak ke DM Social Media kita @Shopee_id /@Shopeecare_id ya, Sehat selalu ^EB",2026-01-04 16:15:08,negatif
com.shopee.id,d08d4a09-14d0-4491-b5b1-fc264304ed24,Awal Awala,5,2026-01-04 14:33:30,sangat bagus,0,"Hi  Kak Awal Awala, makasih ya buat bintang 5 nya. Kuyy pantau terus dan ceki-ceki sosmed kita biar ga ketinggalan promo menarik lainnya. Klo kamu ada pertanyaan terkait Shopee boleh chat di aplikasi Shopee atau DM ke instagram @shopeecare_id ya kak. Have a nice day ^UA",2025-11-18 16:19:38,positif
com.shopee.id,2c55146b-1697-466f-9e12-4bfd3f1c9899,Tri Handajani,5,2026-01-04 14:32:52,pembelian bisa transfer langsung memudahkan transaksi. Keponya ketika dihubungi kurir pas ngga ditempat. Was-was jika salah kirim,0,"Hi  Kak Tri Handajani, makasih ya buat bintang 5 nya. Kuyy pantau terus dan ceki-ceki sosmed kita biar ga ketinggalan promo menarik lainnya. Klo kamu ada pertanyaan terkait Shopee boleh chat di aplikasi Shopee atau DM ke instagram @shopeecare_id ya kak. Have a nice day ^UA",2026-01-04 16:18:45,positif
com.shopee.id,7228ed89-fc4e-4813-8861-7ffee15d7b1e,Joni Ajja,5,2026-01-04 14:32:51,saya sangat suka dengan shopee dan setiap pesan barang selalu bagus,0,"Hallo kak Joni Ajja. Makasih yaa buat review bintang 5 nya, yuk pantengin terus updatean dari sosmed resminya shopee dan aplikasi shopee yaa. Kalo ada kendala/pertanyaan lainnya bisa DM ke Social Media kita @Shopee_id/@Shopeecare_id . Stay safe ^LG",2026-01-04 16:16:52,positif
com.shopee.id,3ba5c4e7-84c0-4a2e-9527-aeff40baaabe,Kang Sapar,5,2026-01-04 14:32:38,"Terimakasih shopee, kamu emang ok .................👍",0,"Hi kak Kang, thank you ya untuk ratings & reviewnya 😁 mimin makin semangat nih hihihi yuk pantau terus aplikasi Shopee kamu ya kak & always stay tune :) ^QA
",2022-06-10 15:23:52,positif
com.shopee.id,84dca07f-a221-4a8b-b8e0-e88c92c40d6d,DANIYAH,5,2026-01-04 14:31:59,jozz,0,"Hii kak DANIYAH, makasih ya buat reviewnya, semoga kakak betah dan nyaman menggunakan aplikasi ini. Kalo ada kendala/pertanyaan lainnya bisa DM ke IG Social Media kita @shopeecare_id. Have a good day ^GS",2026-01-04 16:16:40,positif
com.shopee.id,18bb6167-e301-48b6-8761-2664edacac53,Supri Yanti,3,2026-01-04 14:30:08,semakin lama semakin ga jelas,0,"Hai Kak Supri Yanti, maaf Kakak jadi ngga nyaman karena kendala yang sedang dialami. Agar aku bisa bantu cek, boleh infoin detail dan ss kendala Kakak ke DM X @ShopeeCare. Aku tunggu ya, stay safe ^UA",2026-01-04 16:19:09,netral
com.shopee.id,a021e1a6-adf1-4819-9fe3-1c9ac353eb5c,didit budi,5,2026-01-04 14:29:29,ok buat saya.,0,"Hai Kak didit budi, makasih ya buat penilaiannya, semoga Shopee terus bisa kasih pelayanan yg terbaik buat kakak. Shopee juga akan terus tingkatkan pelayanan yg terbaik biar kakak makin nyaman, aman dan asik belanja/bertransaksi di Shopee. yuk pantengin terus sosmed shopee biar kakak tahu update info promo menariknya. Have a Nice day ka^EB",2026-01-04 16:16:14,positif
com.shopee.id,c2ae1ddf-a9dd-4aba-89b6-efa28ab42957,Ahmad Dimas,5,2026-01-04 14:29:01,selamat datang kembali,0,"Hallo kak Ahmad Dimas. Makasih yaa buat review bintang 5 nya, yuk pantengin terus updatean dari sosmed resminya shopee dan aplikasi shopee yaa. Kalo ada kendala/pertanyaan lainnya bisa DM ke Social Media kita @Shopee_id/@Shopeecare_id . Stay safe ^LG",2026-01-04 16:17:10,positif
com.shopee.id,b067a7cb-f0f3-481f-b456-b61a1f8801b7,Rindiani Rindiani,5,2026-01-04 14:25:58,aplikasi belanja yang sangat membantu untuk saya..terima kasih untuk semua yang terkait di dalam nya..semoga kita semua di berikan kemudahan di segala urusan kita .amin,0,"hi kak Rindiani Rindiani, makasih buat review dan bintang nya, cek terus aplikasi Shopee untuk mendapatkan promo-promo menarik lainnya ya. terimakasih ^PO",2026-01-04 16:18:44,positif
com.shopee.id,dba3f7cb-c25f-40de-a820-3528cfadc9f5,Ummu Khansa,5,2026-01-04 14:25:54,maksih,0,"Hallo kak Ummu Khansa. Makasih yaa buat review bintang 5 nya, yuk pantengin terus updatean dari sosmed resminya shopee dan aplikasi shopee yaa. Kalo ada kendala/pertanyaan lainnya bisa DM ke Social Media kita @Shopee_id . Stay safe ^JP",2026-01-04 16:18:39,positif
com.shopee.id,a0d67620-4be6-435d-abe2-17b6a80093a3,Hatake Rizzal,1,2026-01-04 14:25:45,pengiriman sekarang lama banget,0,"Hai kak Hatake Rizzal, maaf buat kamu ga nyaman terkait kendala pesanan kamu. Agar aku bisa bantu yuk infoin ke aku Username dan Nomor pesanan kmu ke DM Social Media Twitter(X) @ShopeeID ya. Sehat selalu ^GS",2026-01-04 16:15:57,negatif
com.shopee.id,1c5fe89d-cea2-4735-8afe-3c8d0e34b872,Santi Cini,5,2026-01-04 14:24:36,top markotop,0,"Hi  Kak Santi Cini, makasih ya buat bintang 5 nya. Kuyy pantau terus dan ceki-ceki sosmed kita biar ga ketinggalan promo menarik lainnya. Klo kamu ada pertanyaan terkait Shopee boleh chat di aplikasi Shopee atau DM ke instagram @shopeecare_id ya kak. Have a nice day ^UA",2026-01-04 16:19:35,positif
